EwEVersion,"6.6.8.18072 (compiled 11/4/2022)"
Date,"10/17/2023 10:05:33 AM"
ModelName,"NWACS AM 7ages"
EcosimScenario,forcing_pdsi_egg_amo1
TimeSeries,"copyUpdated NWACS MICE 5 v2-1-6-Time series grid"
StartYear,1985

Data,Landings

timestep,fleet,group,value
113,3,11,0.0004647085
114,1,1,3.812762E-07
114,3,11,0.000466707
115,1,1,3.98786E-07
115,3,11,0.000468218
116,1,1,4.149325E-07
116,3,11,0.0004693751
117,1,1,4.273616E-07
117,3,11,0.0004704017
118,1,1,4.383094E-07
118,3,11,0.0004713303
119,1,1,4.500961E-07
119,3,11,0.0004719815
120,1,1,4.620386E-07
120,3,11,0.0004723195
121,1,1,4.724236E-07
121,3,11,0.0004723604
122,1,1,4.800523E-07
122,3,11,0.0004721763
123,1,1,4.862756E-07
123,3,11,0.0004717671
124,1,1,4.929302E-07
124,3,11,0.0004710463
125,1,1,4.984119E-07
125,3,11,0.0004699796
126,1,1,4.996045E-07
126,3,11,0.0004686637
127,1,1,4.978248E-07
127,3,11,0.0004671618
128,1,1,4.976039E-07
128,3,11,0.000465382
129,1,1,5.001682E-07
129,3,11,0.0004632383
130,1,1,4.928971E-07
130,3,11,0.0004608117
131,1,1,4.641178E-07
131,3,11,0.0004589164
132,1,1,4.368544E-07
132,3,11,0.0004581724
133,1,1,4.214063E-07
133,3,11,0.0004584785
134,1,1,4.183238E-07
134,3,11,0.0004598416
135,1,1,4.264053E-07
135,3,11,0.0004619569
136,1,1,4.412313E-07
136,3,11,0.0004645801
137,1,1,4.579385E-07
137,3,11,0.0004676781
138,1,1,4.740428E-07
138,3,11,0.000471165
139,1,1,4.875472E-07
139,3,11,0.0004749828
140,1,1,4.974478E-07
140,3,11,0.0004793015
141,1,1,5.044783E-07
141,3,11,0.0004840994
142,1,1,5.086231E-07
142,3,11,0.0004896625
143,1,1,5.116454E-07
143,3,11,0.00049619
144,1,1,5.153053E-07
144,3,11,0.0005035944
145,1,1,5.208762E-07
145,3,11,0.0005116287
146,1,1,5.298164E-07
146,3,11,0.0005191056
147,1,1,5.396201E-07
147,3,11,0.0005254525
148,1,1,5.469599E-07
148,3,11,0.0005307482
149,1,1,5.50714E-07
149,3,11,0.0005351328
150,1,1,5.512085E-07
150,3,11,0.0005386599
151,1,1,5.491297E-07
151,3,11,0.000541351
152,1,1,5.446255E-07
152,3,11,0.0005432931
153,1,1,5.385968E-07
153,3,11,0.0005446146
154,1,1,5.328032E-07
154,3,11,0.0005453487
155,1,1,5.238048E-07
155,3,11,0.0005455948
156,1,1,5.082059E-07
156,3,11,0.0005458446
157,1,1,4.899828E-07
157,3,11,0.0005463573
158,1,1,4.725189E-07
158,3,11,0.000547495
159,1,1,4.600729E-07
159,3,11,0.0005495255
160,1,1,4.560409E-07
160,3,11,0.000552503
161,1,1,4.614912E-07
161,3,11,0.0005563166
162,1,1,4.748254E-07
162,3,11,0.0005609758
163,1,1,4.962562E-07
163,3,11,0.0005663831
164,1,1,5.268816E-07
164,3,11,0.0005713828
165,1,1,5.614708E-07
165,3,11,0.0005755823
166,1,1,5.953227E-07
166,3,11,0.0005787965
167,1,1,6.258056E-07
167,3,11,0.0005810139
168,1,1,6.52928E-07
168,3,11,0.0005822179
169,1,1,6.725663E-07
169,3,11,0.0005825129
170,1,1,6.782291E-07
170,3,11,0.0005822124
171,1,1,6.693371E-07
171,3,11,0.0005815918
172,1,1,6.546438E-07
172,3,11,0.0005808628
173,1,1,6.440627E-07
173,3,11,0.0005798393
174,1,1,6.405069E-07
174,3,11,0.0005784026
175,1,1,6.454574E-07
175,3,11,0.0005763901
176,1,1,6.568004E-07
176,3,11,0.0005737435
177,1,1,6.55801E-07
177,3,11,0.0005705399
178,1,1,6.094522E-07
178,3,11,0.0005678032
179,1,1,5.677184E-07
179,3,11,0.0005666145
180,1,1,5.506793E-07
180,3,11,0.0005664153
181,1,1,5.576111E-07
181,3,11,0.0005666909
182,1,1,5.801E-07
182,3,11,0.0005671654
183,1,1,6.094377E-07
183,3,11,0.0005676642
184,1,1,6.372202E-07
184,3,11,0.0005681535
185,1,1,6.587125E-07
185,3,11,0.000568794
186,1,1,6.735372E-07
186,3,11,0.0005696072
187,1,1,6.805462E-07
187,3,11,0.0005708159
188,1,1,6.821874E-07
188,3,11,0.000572653
189,1,1,6.821223E-07
189,3,11,0.0005751284
190,1,1,6.848563E-07
190,3,11,0.0005779929
191,1,1,6.928746E-07
191,3,11,0.0005803945
192,1,1,7.006494E-07
192,3,11,0.0005821286
193,1,1,7.047473E-07
193,3,11,0.000583179
194,1,1,7.043664E-07
194,3,11,0.000583536
195,1,1,6.952209E-07
195,3,11,0.000583323
196,1,1,6.771203E-07
196,3,11,0.000582947
197,1,1,6.562574E-07
197,3,11,0.0005823218
198,1,1,6.313152E-07
198,3,11,0.0005816741
199,1,1,6.042768E-07
199,3,11,0.0005813123
200,1,1,5.808852E-07
200,3,11,0.000581309
201,1,1,5.655177E-07
201,3,11,0.0005814594
202,1,1,5.600299E-07
202,3,11,0.0005814452
203,1,1,5.646286E-07
203,3,11,0.0005809398
204,1,1,5.778384E-07
204,3,11,0.0005796959
205,1,1,5.956603E-07
205,3,11,0.0005776889
206,1,1,6.141112E-07
206,3,11,0.0005750053
207,1,1,6.289968E-07
207,3,11,0.0005717551
208,1,1,6.372543E-07
208,3,11,0.0005680007
209,1,1,6.36791E-07
209,3,11,0.0005637869
210,1,1,6.249115E-07
210,3,11,0.000559207
211,1,1,6.003294E-07
211,3,11,0.0005543676
212,1,1,5.699261E-07
212,3,11,0.0005493612
213,1,1,5.37772E-07
213,3,11,0.0005442405
214,1,1,4.933751E-07
214,3,11,0.0005391947
215,1,1,4.419629E-07
215,3,11,0.0005351214
216,1,1,4.028902E-07
216,3,11,0.0005324993
217,1,1,3.827239E-07
217,3,11,0.0005311879
218,1,1,3.715879E-07
218,3,11,0.0005307193
219,1,1,3.677224E-07
219,3,11,0.0005310319
220,1,1,3.701469E-07
220,3,11,0.0005319658
221,1,1,3.772577E-07
221,3,11,0.0005334202
222,1,1,3.870035E-07
222,3,11,0.0005355001
223,1,1,3.967232E-07
223,3,11,0.000538411
224,1,1,4.052233E-07
224,3,11,0.0005420797
225,1,1,4.113809E-07
225,3,11,0.0005464879
226,1,1,4.145548E-07
226,3,11,0.000551792
227,1,1,4.154074E-07
227,3,11,0.0005578652
228,1,1,4.143252E-07
228,3,11,0.0005641305
229,1,1,4.104605E-07
229,3,11,0.0005703737
230,1,1,4.041439E-07
230,3,11,0.0005760551
231,1,1,3.953219E-07
231,3,11,0.0005809047
232,1,1,3.83602E-07
232,3,11,0.000584913
233,1,1,3.692327E-07
233,3,11,0.0005885347
234,1,1,3.54309E-07
234,3,11,0.0005916606
235,1,1,3.395571E-07
235,3,11,0.0005943547
236,1,1,3.252062E-07
236,3,11,0.0005968874
237,1,1,3.117295E-07
237,3,11,0.0005996351
238,1,1,3.004895E-07
238,3,11,0.0006029211
239,1,1,2.928273E-07
239,3,11,0.0006065488
240,1,1,2.887071E-07
240,3,11,0.0006103884
241,1,1,2.876942E-07
241,3,11,0.0006141691
242,1,1,2.891151E-07
242,3,11,0.0006177909
243,1,1,2.923984E-07
243,3,11,0.0006210103
244,1,1,2.96378E-07
244,3,11,0.0006239035
245,1,1,3.005193E-07
245,3,11,0.0006265439
246,1,1,3.053545E-07
246,3,11,0.0006288803
247,1,1,3.114669E-07
247,3,11,0.0006306262
248,1,1,3.18513E-07
248,3,11,0.0006317278
249,1,1,3.268009E-07
249,3,11,0.0006320903
250,1,1,3.321395E-07
250,3,11,0.0006318273
251,1,1,3.298243E-07
251,3,11,0.0006319971
252,1,1,3.264958E-07
252,3,11,0.0006330879
253,1,1,3.271676E-07
253,3,11,0.0006351325
254,1,1,3.342488E-07
254,3,11,0.0006379053
255,1,1,3.487293E-07
255,3,11,0.0006409275
256,1,1,3.699451E-07
256,3,11,0.000643621
257,1,1,3.945616E-07
257,3,11,0.0006458133
258,1,1,4.165255E-07
258,3,11,0.0006478159
259,1,1,4.342772E-07
259,3,11,0.0006505134
260,1,1,4.539227E-07
260,3,11,0.0006538435
261,1,1,4.778274E-07
261,3,11,0.0006576686
262,1,1,5.056186E-07
262,3,11,0.0006620765
263,1,1,5.371721E-07
263,3,11,0.0006673152
264,1,1,5.750418E-07
264,3,11,0.0006732743
265,1,1,6.209037E-07
265,3,11,0.0006791961
266,1,1,6.714086E-07
266,3,11,0.0006847712
267,1,1,7.225381E-07
267,3,11,0.0006897962
268,1,1,7.690419E-07
268,3,11,0.0006943655
269,1,1,8.11661E-07
269,3,11,0.0006986144
270,1,1,8.541612E-07
270,3,11,0.0007019762
271,1,1,8.933646E-07
271,3,11,0.0007043727
272,1,1,9.279769E-07
272,3,11,0.0007058221
273,1,1,9.597255E-07
273,3,11,0.0007063055
274,1,1,9.899719E-07
274,3,11,0.0007058478
275,1,1,1.01957E-06
275,3,11,0.0007045473
276,1,1,1.047119E-06
276,3,11,0.0007024961
277,1,1,1.070423E-06
277,3,11,0.0006998159
278,1,1,1.079296E-06
278,3,11,0.0006964625
279,1,1,1.047224E-06
279,3,11,0.0006928022
280,1,1,9.982492E-07
280,3,11,0.0006894898
281,1,1,9.588334E-07
281,3,11,0.0006868305
282,1,1,9.407974E-07
282,3,11,0.0006847712
283,1,1,9.440295E-07
283,3,11,0.0006831472
284,1,1,9.635021E-07
284,3,11,0.0006819303
285,1,1,9.922283E-07
285,3,11,0.0006810708
286,1,1,1.024729E-06
286,3,11,0.0006807512
287,1,1,1.062971E-06
287,3,11,0.0006808086
288,1,1,1.101839E-06
288,3,11,0.0006811558
289,1,1,1.138081E-06
289,3,11,0.000681836
290,1,1,1.175161E-06
290,3,11,0.0006824941
291,1,1,1.209849E-06
291,3,11,0.0006828118
292,1,1,1.233076E-06
292,3,11,0.0006827694
293,1,1,1.238994E-06
293,3,11,0.0006825181
294,1,1,1.225711E-06
294,3,11,0.0006822647
295,1,1,1.193911E-06
295,3,11,0.0006824667
296,1,1,1.154324E-06
296,3,11,0.000683606
297,1,1,1.120601E-06
297,3,11,0.0006856395
298,1,1,1.096587E-06
298,3,11,0.0006883573
299,1,1,1.080526E-06
299,3,11,0.0006917717
300,1,1,1.070879E-06
300,3,11,0.0006958038
301,1,1,1.066189E-06
301,3,11,0.000700557
302,1,1,1.067142E-06
302,3,11,0.0007058731
303,1,1,1.071356E-06
303,3,11,0.0007118045
304,1,1,1.082043E-06
304,3,11,0.0007182573
305,1,1,1.103909E-06
305,3,11,0.0007238716
306,1,1,1.128339E-06
306,3,11,0.0007282933
307,1,1,1.148681E-06
307,3,11,0.0007313995
308,1,1,1.160774E-06
308,3,11,0.0007332015
309,1,1,1.162414E-06
309,3,11,0.0007338201
310,1,1,1.149185E-06
310,3,11,0.0007334748
311,1,1,1.118695E-06
311,3,11,0.0007325754
312,1,1,1.076739E-06
312,3,11,0.0007313147
313,1,1,1.029536E-06
313,3,11,0.0007298609
314,1,1,9.826213E-07
314,3,11,0.0007282734
315,1,1,9.370642E-07
315,3,11,0.0007266423
316,1,1,8.931835E-07
316,3,11,0.0007251935
317,1,1,8.556952E-07
317,3,11,0.0007240677
318,1,1,8.286599E-07
318,3,11,0.0007232239
319,1,1,8.137394E-07
319,3,11,0.0007226032
320,1,1,8.065372E-07
320,3,11,0.0007221437
321,1,1,7.998826E-07
321,3,11,0.0007224104
322,1,1,7.971747E-07
322,3,11,0.0007238905
323,1,1,8.074724E-07
323,3,11,0.0007265618
324,1,1,8.346064E-07
324,3,11,0.0007294905
325,1,1,8.710622E-07
325,3,11,0.0007322833
326,1,1,9.119758E-07
326,3,11,0.0007344335
327,1,1,9.528756E-07
327,3,11,0.0007356314
328,1,1,9.901074E-07
328,3,11,0.0007357094
329,1,1,1.018048E-06
329,3,11,0.0007347316
330,1,1,1.031862E-06
330,3,11,0.0007328985
331,1,1,1.03068E-06
331,3,11,0.0007303897
332,1,1,1.015428E-06
332,3,11,0.0007273578
333,1,1,9.862326E-07
333,3,11,0.0007239663
334,1,1,9.406221E-07
334,3,11,0.0007204101
335,1,1,8.888616E-07
335,3,11,0.0007169598
336,1,1,8.45765E-07
336,3,11,0.0007134847
337,1,1,8.114875E-07
337,3,11,0.0007099993
338,1,1,7.850662E-07
338,3,11,0.0007065178
339,1,1,7.665466E-07
339,3,11,0.0007030673
340,1,1,7.577797E-07
340,3,11,0.0006995637
