EwEVersion,"6.6.8.18072 (compiled 11/4/2022)"
Date,"1/5/2024 1:21:45 PM"
ModelName,"NWACS AM 7ages"
EcosimScenario,base_run
TimeSeries,"copyUpdated NWACS MICE 5 v2-1-6-Time series grid"
StartYear,1985

Data,Landings

timestep,fleet,group,value
1,1,1,1.33268E-07
1,3,11,0.0004285006
2,1,1,1.345171E-07
2,3,11,0.0004285066
3,1,1,1.357692E-07
3,3,11,0.0004285179
4,1,1,1.370316E-07
4,3,11,0.0004285344
5,1,1,1.383079E-07
5,3,11,0.000428556
6,1,1,1.395994E-07
6,3,11,0.0004285824
7,1,1,1.409063E-07
7,3,11,0.0004286137
8,1,1,1.422284E-07
8,3,11,0.0004286497
9,1,1,1.435653E-07
9,3,11,0.0004286904
10,1,1,1.449167E-07
10,3,11,0.0004287358
11,1,1,1.462828E-07
11,3,11,0.0004287858
12,1,1,1.476642E-07
12,3,11,0.0004288405
13,1,1,1.490619E-07
13,3,11,0.0004289023
14,1,1,1.504792E-07
14,3,11,0.0004289737
15,1,1,1.51919E-07
15,3,11,0.0004290549
16,1,1,1.53385E-07
16,3,11,0.0004291461
17,1,1,1.54882E-07
17,3,11,0.0004292474
18,1,1,1.564156E-07
18,3,11,0.0004293592
19,1,1,1.579923E-07
19,3,11,0.0004294817
20,1,1,1.596188E-07
20,3,11,0.0004296151
21,1,1,1.613022E-07
21,3,11,0.0004297596
22,1,1,1.630501E-07
22,3,11,0.0004299155
23,1,1,1.648696E-07
23,3,11,0.0004300828
24,1,1,1.667678E-07
24,3,11,0.0004302615
25,1,1,1.687773E-07
25,3,11,0.0004304522
26,1,1,1.708703E-07
26,3,11,0.0004306553
27,1,1,1.730562E-07
27,3,11,0.000430871
28,1,1,1.753372E-07
28,3,11,0.0004310992
29,1,1,1.777148E-07
29,3,11,0.00043134
30,1,1,1.801908E-07
30,3,11,0.0004315933
31,1,1,1.827679E-07
31,3,11,0.0004318592
32,1,1,1.854498E-07
32,3,11,0.0004321377
33,1,1,1.882413E-07
33,3,11,0.0004324288
34,1,1,1.911479E-07
34,3,11,0.0004327326
35,1,1,1.941763E-07
35,3,11,0.0004330493
36,1,1,1.973333E-07
36,3,11,0.0004333789
37,1,1,2.005865E-07
37,3,11,0.0004337214
38,1,1,2.039334E-07
38,3,11,0.0004340768
39,1,1,2.073722E-07
39,3,11,0.0004344455
40,1,1,2.109026E-07
40,3,11,0.0004348278
41,1,1,2.145243E-07
41,3,11,0.0004352242
42,1,1,2.182362E-07
42,3,11,0.0004356351
43,1,1,2.220354E-07
43,3,11,0.0004360609
44,1,1,2.259177E-07
44,3,11,0.0004365018
45,1,1,2.298775E-07
45,3,11,0.0004369582
46,1,1,2.339073E-07
46,3,11,0.0004374301
47,1,1,2.379984E-07
47,3,11,0.0004379175
48,1,1,2.421412E-07
48,3,11,0.0004384201
49,1,1,2.461986E-07
49,3,11,0.0004389395
50,1,1,2.501496E-07
50,3,11,0.0004394783
51,1,1,2.539759E-07
51,3,11,0.0004400366
52,1,1,2.576646E-07
52,3,11,0.0004406144
53,1,1,2.612084E-07
53,3,11,0.000441212
54,1,1,2.646047E-07
54,3,11,0.0004418292
55,1,1,2.678557E-07
55,3,11,0.0004424663
56,1,1,2.709678E-07
56,3,11,0.0004431231
57,1,1,2.739511E-07
57,3,11,0.0004437997
58,1,1,2.768182E-07
58,3,11,0.0004444959
59,1,1,2.795845E-07
59,3,11,0.0004452116
60,1,1,2.822671E-07
60,3,11,0.0004459468
61,1,1,2.850616E-07
61,3,11,0.0004467047
62,1,1,2.879899E-07
62,3,11,0.0004474892
63,1,1,2.910895E-07
63,3,11,0.0004483002
64,1,1,2.943903E-07
64,3,11,0.0004491374
65,1,1,2.979177E-07
65,3,11,0.0004500007
66,1,1,3.016937E-07
66,3,11,0.0004508898
67,1,1,3.057375E-07
67,3,11,0.0004518043
68,1,1,3.100671E-07
68,3,11,0.0004527438
69,1,1,3.146993E-07
69,3,11,0.0004537079
70,1,1,3.196496E-07
70,3,11,0.0004546962
71,1,1,3.249323E-07
71,3,11,0.0004557083
72,1,1,3.305607E-07
72,3,11,0.0004567436
73,1,1,3.36278E-07
73,3,11,0.0004578033
74,1,1,3.421061E-07
74,3,11,0.0004588882
75,1,1,3.480513E-07
75,3,11,0.0004599979
76,1,1,3.541195E-07
76,3,11,0.0004611317
77,1,1,3.603145E-07
77,3,11,0.0004622889
78,1,1,3.666383E-07
78,3,11,0.0004634692
79,1,1,3.730914E-07
79,3,11,0.0004646718
80,1,1,3.796743E-07
80,3,11,0.0004658962
81,1,1,3.863877E-07
81,3,11,0.0004671417
82,1,1,3.932319E-07
82,3,11,0.0004684078
83,1,1,4.002079E-07
83,3,11,0.0004696938
84,1,1,4.073172E-07
84,3,11,0.0004709991
85,1,1,4.145025E-07
85,3,11,0.0004723227
86,1,1,4.217632E-07
86,3,11,0.0004736632
87,1,1,4.291067E-07
87,3,11,0.0004750203
88,1,1,4.365416E-07
88,3,11,0.0004763932
89,1,1,4.44076E-07
89,3,11,0.0004777813
90,1,1,4.517175E-07
90,3,11,0.000479184
91,1,1,4.594717E-07
91,3,11,0.0004806006
92,1,1,4.673441E-07
92,3,11,0.0004820305
93,1,1,4.753391E-07
93,3,11,0.000483473
94,1,1,4.834607E-07
94,3,11,0.0004849274
95,1,1,4.917124E-07
95,3,11,0.000486393
96,1,1,5.000979E-07
96,3,11,0.000487869
97,1,1,5.085874E-07
97,3,11,0.0004893567
98,1,1,5.171663E-07
98,3,11,0.0004908575
99,1,1,5.258428E-07
99,3,11,0.0004923707
100,1,1,5.346174E-07
100,3,11,0.0004938957
101,1,1,5.434854E-07
101,3,11,0.0004954316
102,1,1,5.524396E-07
102,3,11,0.0004969776
103,1,1,5.614715E-07
103,3,11,0.0004985331
104,1,1,5.70572E-07
104,3,11,0.0005000971
105,1,1,5.797322E-07
105,3,11,0.0005016687
106,1,1,5.889434E-07
106,3,11,0.0005032473
107,1,1,5.981969E-07
107,3,11,0.000504832
108,1,1,6.074843E-07
108,3,11,0.0005064219
109,1,1,6.168175E-07
109,3,11,0.0005080182
110,1,1,6.261982E-07
110,3,11,0.0005096221
111,1,1,6.356317E-07
111,3,11,0.0005112328
112,1,1,6.4511E-07
112,3,11,0.0005128494
113,1,1,6.546188E-07
113,3,11,0.000514471
114,1,1,6.641404E-07
114,3,11,0.0005160969
115,1,1,6.736558E-07
115,3,11,0.0005177262
116,1,1,6.831463E-07
116,3,11,0.0005193583
117,1,1,6.925932E-07
117,3,11,0.000520992
118,1,1,7.019792E-07
118,3,11,0.0005226269
119,1,1,7.112881E-07
119,3,11,0.0005242621
120,1,1,7.205051E-07
120,3,11,0.0005258971
121,1,1,7.297077E-07
121,3,11,0.0005275187
122,1,1,7.388421E-07
122,3,11,0.0005291139
123,1,1,7.478689E-07
123,3,11,0.0005306829
124,1,1,7.567621E-07
124,3,11,0.0005322261
125,1,1,7.655058E-07
125,3,11,0.0005337436
126,1,1,7.740866E-07
126,3,11,0.0005352359
127,1,1,7.824908E-07
127,3,11,0.0005367031
128,1,1,7.907033E-07
128,3,11,0.0005381454
129,1,1,7.987069E-07
129,3,11,0.0005395628
130,1,1,8.064835E-07
