EwEVersion,"6.6.8.18072 (compiled 11/4/2022)"
Date,"1/5/2024 1:21:45 PM"
ModelName,"NWACS AM 7ages"
EcosimScenario,base_run
TimeSeries,"copyUpdated NWACS MICE 5 v2-1-6-Time series grid"
StartYear,1985

Data,ValueFleetGroup

timestep,fleet,group,value
1,1,1,2.399768E-07
1,3,11,5.920893E-05
2,1,1,2.422262E-07
2,3,11,5.920975E-05
3,1,1,2.444808E-07
3,3,11,5.921132E-05
4,1,1,2.467541E-07
4,3,11,5.921361E-05
5,1,1,2.490523E-07
5,3,11,5.921658E-05
6,1,1,2.513779E-07
6,3,11,5.922024E-05
7,1,1,2.537313E-07
7,3,11,5.922456E-05
8,1,1,2.56112E-07
8,3,11,5.922954E-05
9,1,1,2.585193E-07
9,3,11,5.923515E-05
10,1,1,2.609528E-07
10,3,11,5.924143E-05
11,1,1,2.634128E-07
11,3,11,5.924834E-05
12,1,1,2.659002E-07
12,3,11,5.92559E-05
13,1,1,2.68417E-07
13,3,11,5.926444E-05
14,1,1,2.709693E-07
14,3,11,5.927431E-05
15,1,1,2.735619E-07
15,3,11,5.928552E-05
16,1,1,2.762017E-07
16,3,11,5.929812E-05
17,1,1,2.788973E-07
17,3,11,5.931213E-05
18,1,1,2.81659E-07
18,3,11,5.932757E-05
19,1,1,2.844981E-07
19,3,11,5.93445E-05
20,1,1,2.874269E-07
20,3,11,5.936293E-05
21,1,1,2.904584E-07
21,3,11,5.93829E-05
22,1,1,2.936057E-07
22,3,11,5.940444E-05
23,1,1,2.968821E-07
23,3,11,5.942755E-05
24,1,1,3.003003E-07
24,3,11,5.945224E-05
25,1,1,3.039187E-07
25,3,11,5.947859E-05
26,1,1,3.076876E-07
26,3,11,5.950666E-05
27,1,1,3.116238E-07
27,3,11,5.953647E-05
28,1,1,3.157312E-07
28,3,11,5.9568E-05
29,1,1,3.200126E-07
29,3,11,5.960127E-05
30,1,1,3.244712E-07
30,3,11,5.963627E-05
31,1,1,3.291118E-07
31,3,11,5.967301E-05
32,1,1,3.339412E-07
32,3,11,5.97115E-05
33,1,1,3.389678E-07
33,3,11,5.975172E-05
34,1,1,3.442018E-07
34,3,11,5.97937E-05
35,1,1,3.496549E-07
35,3,11,5.983746E-05
36,1,1,3.553398E-07
36,3,11,5.9883E-05
37,1,1,3.611979E-07
37,3,11,5.993033E-05
38,1,1,3.672246E-07
38,3,11,5.997943E-05
39,1,1,3.73417E-07
39,3,11,6.003038E-05
40,1,1,3.797742E-07
40,3,11,6.00832E-05
41,1,1,3.862958E-07
41,3,11,6.013798E-05
42,1,1,3.929798E-07
42,3,11,6.019476E-05
43,1,1,3.998211E-07
43,3,11,6.025359E-05
44,1,1,4.068121E-07
44,3,11,6.031452E-05
45,1,1,4.139424E-07
45,3,11,6.037758E-05
46,1,1,4.21199E-07
46,3,11,6.044279E-05
47,1,1,4.28566E-07
47,3,11,6.051013E-05
48,1,1,4.360258E-07
48,3,11,6.057958E-05
49,1,1,4.433321E-07
49,3,11,6.065135E-05
50,1,1,4.504466E-07
50,3,11,6.07258E-05
51,1,1,4.573367E-07
51,3,11,6.080294E-05
52,1,1,4.63979E-07
52,3,11,6.088279E-05
53,1,1,4.703603E-07
53,3,11,6.096535E-05
54,1,1,4.764761E-07
54,3,11,6.105065E-05
55,1,1,4.823302E-07
55,3,11,6.113867E-05
56,1,1,4.879342E-07
56,3,11,6.122943E-05
57,1,1,4.933062E-07
57,3,11,6.132291E-05
58,1,1,4.98469E-07
58,3,11,6.141912E-05
59,1,1,5.034503E-07
59,3,11,6.151801E-05
60,1,1,5.082808E-07
60,3,11,6.161959E-05
61,1,1,5.133131E-07
61,3,11,6.172432E-05
62,1,1,5.18586E-07
62,3,11,6.183272E-05
63,1,1,5.241674E-07
63,3,11,6.194477E-05
64,1,1,5.301113E-07
64,3,11,6.206046E-05
65,1,1,5.364631E-07
65,3,11,6.217975E-05
66,1,1,5.432625E-07
66,3,11,6.23026E-05
67,1,1,5.505442E-07
67,3,11,6.242896E-05
68,1,1,5.583407E-07
68,3,11,6.255878E-05
69,1,1,5.666818E-07
69,3,11,6.2692E-05
70,1,1,5.75596E-07
70,3,11,6.282856E-05
71,1,1,5.851086E-07
71,3,11,6.296841E-05
72,1,1,5.952435E-07
72,3,11,6.311147E-05
73,1,1,6.055389E-07
73,3,11,6.32579E-05
74,1,1,6.160335E-07
74,3,11,6.34078E-05
75,1,1,6.267391E-07
75,3,11,6.356113E-05
76,1,1,6.376662E-07
76,3,11,6.371779E-05
77,1,1,6.488215E-07
77,3,11,6.387771E-05
78,1,1,6.602089E-07
78,3,11,6.404078E-05
79,1,1,6.71829E-07
79,3,11,6.420696E-05
80,1,1,6.83683E-07
80,3,11,6.437614E-05
81,1,1,6.957718E-07
81,3,11,6.454824E-05
82,1,1,7.080961E-07
82,3,11,6.472319E-05
83,1,1,7.206581E-07
83,3,11,6.490088E-05
84,1,1,7.334598E-07
84,3,11,6.508125E-05
85,1,1,7.463984E-07
85,3,11,6.526413E-05
86,1,1,7.594729E-07
86,3,11,6.544937E-05
87,1,1,7.726963E-07
87,3,11,6.563688E-05
88,1,1,7.860844E-07
88,3,11,6.582658E-05
89,1,1,7.996517E-07
89,3,11,6.601839E-05
90,1,1,8.134116E-07
90,3,11,6.621221E-05
91,1,1,8.273748E-07
91,3,11,6.640796E-05
92,1,1,8.415507E-07
92,3,11,6.660553E-05
93,1,1,8.559475E-07
93,3,11,6.680485E-05
94,1,1,8.70572E-07
94,3,11,6.700581E-05
95,1,1,8.854309E-07
95,3,11,6.720832E-05
96,1,1,9.005307E-07
96,3,11,6.741228E-05
97,1,1,9.158179E-07
97,3,11,6.761785E-05
98,1,1,9.312659E-07
98,3,11,6.782522E-05
99,1,1,9.468899E-07
99,3,11,6.803431E-05
100,1,1,9.626904E-07
100,3,11,6.824503E-05
101,1,1,9.78659E-07
101,3,11,6.845725E-05
102,1,1,9.94783E-07
102,3,11,6.867089E-05
103,1,1,1.011047E-06
103,3,11,6.888581E-05
104,1,1,1.027434E-06
104,3,11,6.910192E-05
105,1,1,1.043929E-06
105,3,11,6.931908E-05
106,1,1,1.060516E-06
106,3,11,6.953721E-05
107,1,1,1.077179E-06
107,3,11,6.975617E-05
108,1,1,1.093902E-06
108,3,11,6.997586E-05
109,1,1,1.110709E-06
109,3,11,7.019645E-05
110,1,1,1.127601E-06
110,3,11,7.041806E-05
111,1,1,1.144588E-06
111,3,11,7.064062E-05
112,1,1,1.161655E-06
112,3,11,7.086399E-05
113,1,1,1.178778E-06
113,3,11,7.108807E-05
114,1,1,1.195924E-06
114,3,11,7.131273E-05
115,1,1,1.213058E-06
115,3,11,7.153786E-05
116,1,1,1.230148E-06
116,3,11,7.176337E-05
117,1,1,1.247159E-06
117,3,11,7.198912E-05
118,1,1,1.26406E-06
118,3,11,7.221502E-05
119,1,1,1.280823E-06
119,3,11,7.244098E-05
120,1,1,1.29742E-06
120,3,11,7.266689E-05
121,1,1,1.313991E-06
121,3,11,7.289096E-05
122,1,1,1.330439E-06
122,3,11,7.311138E-05
123,1,1,1.346694E-06
123,3,11,7.332818E-05
124,1,1,1.362708E-06
124,3,11,7.354141E-05
125,1,1,1.378453E-06
125,3,11,7.37511E-05
126,1,1,1.393905E-06
126,3,11,7.39573E-05
127,1,1,1.409038E-06
127,3,11,7.416003E-05
128,1,1,1.423827E-06
128,3,11,7.435932E-05
129,1,1,1.438239E-06
129,3,11,7.455518E-05
130,1,1,1.452242E-06
130,3,11,7.474764E-05
131,1,1,1.465799E-06
131,3,11,7.493667E-05
132,1,1,1.478871E-06
132,3,11,7.512228E-05
133,1,1,1.491408E-06
133,3,11,7.530498E-05
134,1,1,1.503472E-06
134,3,11,7.548529E-05
135,1,1,1.515212E-06
135,3,11,7.566325E-05
136,1,1,1.526641E-06
136,3,11,7.583886E-05
137,1,1,1.537714E-06
137,3,11,7.601209E-05
138,1,1,1.548357E-06
138,3,11,7.618292E-05
139,1,1,1.558484E-06
139,3,11,7.635136E-05
140,1,1,1.568013E-06
140,3,11,7.651734E-05
141,1,1,1.576865E-06
141,3,11,7.668087E-05
142,1,1,1.584971E-06
142,3,11,7.684189E-05
143,1,1,1.592277E-06
143,3,11,7.700038E-05
144,1,1,1.598737E-06
144,3,11,7.715632E-05
145,1,1,1.604663E-06
145,3,11,7.730954E-05
146,1,1,1.610112E-06
146,3,11,7.745985E-05
147,1,1,1.615148E-06
147,3,11,7.760726E-05
148,1,1,1.619804E-06
148,3,11,7.775175E-05
149,1,1,1.624122E-06
149,3,11,7.789332E-05
150,1,1,1.628136E-06
150,3,11,7.803196E-05
151,1,1,1.631877E-06
151,3,11,7.816768E-05
152,1,1,1.63537E-06
152,3,11,7.830047E-05
153,1,1,1.638633E-06
153,3,11,7.843035E-05
154,1,1,1.64168E-06
154,3,11,7.855729E-05
155,1,1,1.644516E-06
155,3,11,7.868134E-05
156,1,1,1.647142E-06
156,3,11,7.880248E-05
157,1,1,1.649198E-06
157,3,11,7.892088E-05
158,1,1,1.65061E-06
158,3,11,7.903671E-05
159,1,1,1.651342E-06
159,3,11,7.915002E-05
160,1,1,1.651393E-06
160,3,11,7.926084E-05
161,1,1,1.650745E-06
161,3,11,7.936919E-05
162,1,1,1.649393E-06
162,3,11,7.947509E-05
163,1,1,1.647326E-06
163,3,11,7.957857E-05
164,1,1,1.644528E-06
164,3,11,7.967963E-05
165,1,1,1.64098E-06
165,3,11,7.977829E-05
166,1,1,1.63666E-06
166,3,11,7.987458E-05
167,1,1,1.631543E-06
167,3,11,7.996848E-05
168,1,1,1.625607E-06
168,3,11,8.006002E-05
169,1,1,1.618992E-06
169,3,11,8.014894E-05
170,1,1,1.611734E-06
170,3,11,8.023508E-05
171,1,1,1.603917E-06
171,3,11,8.031851E-05
172,1,1,1.595521E-06
172,3,11,8.03993E-05
173,1,1,1.586501E-06
173,3,11,8.04775E-05
174,1,1,1.576791E-06
174,3,11,8.055317E-05
175,1,1,1.566316E-06
175,3,11,8.062633E-05
176,1,1,1.555E-06
176,3,11,8.069704E-05
177,1,1,1.542774E-06
177,3,11,8.076532E-05
178,1,1,1.529575E-06
178,3,11,8.083119E-05
179,1,1,1.515357E-06
179,3,11,8.089467E-05
180,1,1,1.500078E-06
180,3,11,8.09558E-05
181,1,1,1.484514E-06
181,3,11,8.101506E-05
182,1,1,1.468545E-06
182,3,11,8.107296E-05
183,1,1,1.452209E-06
183,3,11,8.112951E-05
184,1,1,1.435518E-06
184,3,11,8.118469E-05
185,1,1,1.418494E-06
185,3,11,8.123851E-05
186,1,1,1.401169E-06
186,3,11,8.129092E-05
187,1,1,1.383579E-06
187,3,11,8.134194E-05
188,1,1,1.365763E-06
188,3,11,8.139154E-05
189,1,1,1.347742E-06
189,3,11,8.143971E-05
