EwEVersion,"6.6.8.18072 (compiled 11/4/2022)"
Date,"1/5/2024 1:21:45 PM"
ModelName,"NWACS AM 7ages"
EcosimScenario,base_run
TimeSeries,"copyUpdated NWACS MICE 5 v2-1-6-Time series grid"
StartYear,1985

Data,ValueFleetGroup

year,fleet,group,value
1985,1,1,3.032497E-06
1985,3,11,0.0007107154
1986,1,1,3.402878E-06
1986,3,11,0.0007121367
1987,1,1,3.934663E-06
1987,3,11,0.0007159777
1988,1,1,4.767256E-06
1988,3,11,0.0007228343
1989,1,1,5.735702E-06
1989,3,11,0.0007333266
1990,1,1,6.597418E-06
1990,3,11,0.0007486328
1991,1,1,8.008506E-06
1991,3,11,0.0007696997
1992,1,1,9.859122E-06
1992,3,11,0.0007958523
1993,1,1,1.204411E-05
1993,3,11,0.0008254265
1994,1,1,1.445192E-05
1994,3,11,0.0008571332
1995,1,1,1.679421E-05
1995,3,11,0.0008884614
1996,1,1,1.860215E-05
1996,3,11,0.0009150355
1997,1,1,1.95412E-05
1997,3,11,0.0009369932
1998,1,1,1.972932E-05
1998,3,11,0.0009541523
1999,1,1,1.880256E-05
1999,3,11,0.0009669028
2000,1,1,1.669124E-05
2000,3,11,0.0009756988
2001,1,1,1.428196E-05
2001,3,11,0.0009814728
2002,1,1,1.238973E-05
2002,3,11,0.0009839061
2003,1,1,1.049119E-05
2003,3,11,0.0009839217
2004,1,1,8.790953E-06
2004,3,11,0.0009814677
2005,1,1,7.339671E-06
2005,3,11,0.0009771819
2006,1,1,6.245367E-06
2006,3,11,0.0009715639
2007,1,1,5.494976E-06
2007,3,11,0.0009641913
2008,1,1,4.942982E-06
2008,3,11,0.0009563579
2009,1,1,4.533023E-06
2009,3,11,0.0009486707
2010,1,1,4.345526E-06
2010,3,11,0.0009410489
2011,1,1,4.254269E-06
2011,3,11,0.0009378184
2012,1,1,4.88961E-06
2012,3,11,0.000938534
2013,1,1,6.026799E-06
2013,3,11,0.0009424339
2014,1,1,7.11782E-06
2014,3,11,0.0009493431
2015,1,1,7.961463E-06
2015,3,11,0.000959021
2016,1,1,8.569046E-06
2016,3,11,0.0009711115
2017,1,1,8.912914E-06
2017,3,11,0.000984033
