Year,Throughput,Capacity,"Asc import","Asc flow","Asc export","Asc resp","Ovh import","Ovh flow","Ovh export","Ovh resp",PCI,FCI,"Path length",Export,Resp,"Prim prod",Prod,Biomass,Catch,"Prop flow det",Ascendency,AMI,Entropy,TLc,"Shannon diversity index","FiB index","Det. TE (weighted)","PP TE (weighted)","Total TE (weigthed)"
1986:5, 5178.308, 15391.77, 0, 6.911493, 0.8194825, 13.43923, 0, 66.96709, 1.842561, 10.02013, 17.14437, 25.0533, 3.058931, 64.35738, 1628.491, 1602.848, 2264.206, 40.41219, 0.1985324, 0.2950598, 3258.469, 0.6292536, 2.972355, 3.666731, 1.011972, -1.330687, 0.1889482, 0.2000018, 0.1965191, 
1986:6, 5178.183, 15392.33, 0, 6.911161, 0.8193529, 13.43812, 0, 66.96733, 1.84229, 10.02174, 17.1424, 25.05192, 3.05898, 64.35424, 1628.427, 1602.874, 2264.198, 40.41866, 0.1952578, 0.2950619, 3258.346, 0.6292451, 2.972534, 3.661475, 1.012389, -1.347051, 0.1889523, 0.2000061, 0.1965233, 
1986:7, 5178.062, 15392.84, 0, 6.910872, 0.8192353, 13.4371, 0, 66.9675, 1.842048, 10.02325, 17.14052, 25.05063, 3.059027, 64.35147, 1628.364, 1602.902, 2264.192, 40.42528, 0.1923777, 0.2950639, 3258.234, 0.6292381, 2.972703, 3.65627, 1.012814, -1.359528, 0.1889564, 0.2000102, 0.1965274, 
1986:8, 5177.946, 15393.31, 0, 6.910626, 0.8191289, 13.43614, 0, 66.96763, 1.841837, 10.02465, 17.13873, 25.0494, 3.05907, 64.34906, 1628.304, 1602.931, 2264.19, 40.43198, 0.1898643, 0.2950656, 3258.131, 0.6292323, 2.97286, 3.651116, 1.013246, -1.368406, 0.1889603, 0.2000142, 0.1965313, 
1986:9, 5177.839, 15393.74, 0, 6.910422, 0.8190329, 13.43525, 0, 66.96774, 1.841652, 10.02592, 17.13705, 25.04826, 3.059112, 64.34696, 1628.249, 1602.96, 2264.192, 40.43871, 0.187693, 0.2950672, 3258.04, 0.6292278, 2.973005, 3.646013, 1.013682, -1.373967, 0.1889641, 0.2000181, 0.1965352, 
1986:10, 5177.739, 15394.13, 0, 6.910254, 0.818947, 13.43443, 0, 66.9678, 1.841493, 10.02708, 17.13546, 25.0472, 3.059151, 64.34518, 1628.196, 1602.99, 2264.196, 40.44541, 0.1858418, 0.2950685, 3257.958, 0.6292239, 2.973138, 3.640954, 1.01412, -1.376476, 0.188968, 0.2000219, 0.196539, 
1986:11, 5177.647, 15394.48, 0, 6.91012, 0.81887, 13.43368, 0, 66.96784, 1.841359, 10.02812, 17.13399, 25.04622, 3.059187, 64.34367, 1628.148, 1603.019, 2264.203, 40.45203, 0.1842911, 0.2950696, 3257.884, 0.6292209, 2.973258, 3.635939, 1.01456, -1.376183, 0.1889717, 0.2000255, 0.1965427, 
1986:12, 5177.563, 15394.79, 0, 6.910018, 0.8188018, 13.43299, 0, 66.9679, 1.841249, 10.02903, 17.1326, 25.04531, 3.059222, 64.34241, 1628.102, 1603.048, 2264.211, 40.45855, 0.1830234, 0.2950705, 3257.818, 0.6292184, 2.973367, 3.630967, 1.015, -1.373314, 0.1889754, 0.2000291, 0.1965462, 
1987:1, 5177.434, 15394.5, 0, 6.910293, 0.818625, 13.43287, 0, 66.96813, 1.840451, 10.02964, 17.13157, 25.0448, 3.059262, 64.33139, 1628.049, 1603.076, 2264.212, 40.46552, 0.1720091, 0.2950703, 3257.751, 0.6292211, 2.973384, 3.65347, 1.015448, -1.518309, 0.1889733, 0.2000275, 0.1965445, 
1987:2, 5177.335, 15394.41, 0, 6.910117, 0.81857, 13.43247, 0, 66.96886, 1.840347, 10.02965, 17.13048, 25.04418, 3.059303, 64.3297, 1627.996, 1603.104, 2264.22, 40.47234, 0.1703591, 0.2950705, 3257.634, 0.6292105, 2.973423, 3.646888, 1.015899, -1.516148, 0.1889766, 0.2000304, 0.1965475, 
1987:3, 5177.241, 15394.29, 0, 6.910005, 0.8185216, 13.4321, 0, 66.96951, 1.840266, 10.02959, 17.1295, 25.04366, 3.059342, 64.3283, 1627.944, 1603.131, 2264.23, 40.47897, 0.1689743, 0.2950706, 3257.528, 0.6292016, 2.973454, 3.640685, 1.016351, -1.511985, 0.1889797, 0.2000332, 0.1965504, 
1987:4, 5177.148, 15394.15, 0, 6.90994, 0.8184791, 13.43177, 0, 66.97012, 1.840208, 10.02948, 17.1286, 25.04323, 3.059381, 64.32711, 1627.894, 1603.157, 2264.242, 40.48537, 0.1678256, 0.2950704, 3257.431, 0.629194, 2.97348, 3.634829, 1.016802, -1.506141, 0.1889829, 0.2000359, 0.1965532, 
1987:5, 5177.059, 15393.99, 0, 6.909913, 0.8184419, 13.43147, 0, 66.97067, 1.840168, 10.02933, 17.12779, 25.04286, 3.059418, 64.32614, 1627.845, 1603.182, 2264.253, 40.49152, 0.1668891, 0.29507, 3257.341, 0.6291876, 2.973501, 3.629295, 1.017249, -1.498928, 0.188986, 0.2000385, 0.196556, 
1987:6, 5176.976, 15393.83, 0, 6.909923, 0.8184091, 13.4312, 0, 66.97117, 1.840143, 10.02916, 17.12705, 25.04256, 3.059454, 64.32536, 1627.799, 1603.206, 2264.266, 40.49741, 0.1661449, 0.2950694, 3257.261, 0.6291823, 2.973518, 3.624065, 1.017691, -1.490637, 0.1889891, 0.200041, 0.1965587, 
1987:7, 5176.896, 15393.66, 0, 6.909962, 0.8183807, 13.43095, 0, 66.97163, 1.840134, 10.02896, 17.1264, 25.04231, 3.059488, 64.32475, 1627.755, 1603.229, 2264.279, 40.50301, 0.1655765, 0.2950688, 3257.19, 0.629178, 2.973531, 3.619128, 1.018128, -1.481534, 0.1889921, 0.2000434, 0.1965612, 
1987:8, 5176.823, 15393.51, 0, 6.910029, 0.8183554, 13.43071, 0, 66.972, 1.840137, 10.02876, 17.1258, 25.04211, 3.05952, 64.3243, 1627.714, 1603.251, 2264.292, 40.50832, 0.1651701, 0.295068, 3257.127, 0.6291748, 2.973543, 3.614471, 1.018559, -1.471852, 0.1889951, 0.2000457, 0.1965638, 
