EwEVersion,"6.6.8.18072 (compiled 11/4/2022)"
Date,"1/5/2024 1:21:45 PM"
ModelName,"NWACS AM 7ages"
EcosimScenario,base_run
TimeSeries,"copyUpdated NWACS MICE 5 v2-1-6-Time series grid"
StartYear,1985

Data,TLC

year,value
1985,3.548352
1986,3.659164
1987,3.62328
1988,3.592826
1989,3.450039
1990,3.042678
1991,3.108705
1992,3.052253
1993,2.970209
1994,2.960864
1995,2.999485
1996,2.932746
1997,2.96609
1998,2.9458
1999,2.929629
2000,2.921643
2001,2.937412
2002,2.912658
2003,3.036469
2004,3.129853
2005,3.375451
2006,3.394552
2007,3.449855
2008,3.424664
2009,3.408181
2010,3.41323
2011,3.393089
2012,3.29279
2013,3.305571
2014,3.251668
2015,3.281902
2016,3.297071
2017,3.256365
