Year,Throughput,Capacity,"Asc import","Asc flow","Asc export","Asc resp","Ovh import","Ovh flow","Ovh export","Ovh resp",PCI,FCI,"Path length",Export,Resp,"Prim prod",Prod,Biomass,Catch,"Prop flow det",Ascendency,AMI,Entropy,TLc,"Shannon diversity index","FiB index","Det. TE (weighted)","PP TE (weighted)","Total TE (weigthed)"
1985:1, 5137.359, 15289.15, 0, 6.665631, 0.6254739, 13.61309, 0, 67.74488, 1.540946, 9.809978, 20.64064, 27.99094, 3.061455, 49.08339, 1628.994, 1602.82, 2264.328, 35.29252, 0.1576309, 0.292936, 3196.073, 0.6221238, 2.976071, 3.679159, 0.998954, -1.550425, 0.1888572, 0.1998922, 0.1964156, 
1985:2, 4637.804, 13985.55, 0, 6.517442, 0.5568193, 13.71795, 0, 68.06191, 1.541308, 9.604597, 22.78984, 30.20859, 3.155489, 43.23207, 1426.526, 1020.165, 1596.671, 30.78276, 0.153929, 0.2919253, 2907.905, 0.6270003, 3.015554, 3.755066, 0.9963587, -1.608122, 0.1809573, 0.1922861, 0.1886921, 
1985:3, 3999.748, 12230.94, 0, 6.439204, 0.5035435, 13.87889, 0, 68.25257, 1.63107, 9.294715, 25.01342, 32.60472, 3.328844, 38.77225, 1162.77, 681.2046, 1147.459, 26.31709, 0.1486728, 0.2903704, 2546.681, 0.6367103, 3.057926, 3.846305, 0.9865276, -1.694115, 0.1682354, 0.1797276, 0.176044, 
1985:4, 3342.025, 10275.37, 0, 6.597614, 0.4228249, 14.24039, 0, 68.18968, 1.71502, 8.834468, 28.49537, 35.74414, 3.616273, 32.65212, 891.5109, 424.0909, 777.3438, 21.88995, 0.1420726, 0.2874315, 2184.629, 0.653684, 3.074593, 4.011714, 0.9572794, -1.831341, 0.1507635, 0.1619632, 0.158325, 
1985:5, 2791.16, 8656.895, 0, 5.915431, 0.642623, 13.82189, 0, 68.37643, 2.831367, 8.41224, 21.71791, 29.65969, 4.055414, 52.06469, 636.1905, 211.0493, 458.4658, 20.71241, 0.1350632, 0.2892674, 1764.27, 0.6320922, 3.10154, 3.774431, 0.9900827, -1.834281, 0.1277587, 0.137742, 0.1344439, 
1985:6, 2505.59, 7691.438, 0, 6.077049, 0.8555427, 13.28121, 0, 67.70283, 3.966105, 8.117269, 15.76213, 23.08501, 4.423419, 72.13417, 494.3034, 336.4543, 525.9871, 21.34854, 0.1286125, 0.2921156, 1554.732, 0.6205053, 3.069711, 3.574187, 1.011006, -1.802139, 0.1109244, 0.1194492, 0.1166042, 
1985:7, 2479.198, 7553.119, 0, 6.649751, 1.086628, 12.77304, 0, 66.69212, 4.70223, 8.096211, 11.51895, 19.03357, 4.462272, 91.51924, 464.0717, 545.6467, 724.1219, 25.84766, 0.1240269, 0.2956795, 1549.101, 0.6248396, 3.046597, 3.425685, 1.008613, -1.743958, 0.107434, 0.1156092, 0.1128844, 
1985:8, 2860.619, 8752.27, 0, 6.967895, 1.174034, 12.83322, 0, 66.46002, 4.102534, 8.462291, 11.32412, 20.97753, 4.01625, 93.14211, 619.1192, 1090.268, 1334.915, 32.31807, 0.1225626, 0.2947275, 1835.802, 0.6417497, 3.059572, 3.393632, 0.9867084, -1.720671, 0.128077, 0.1378565, 0.1346608, 
1985:9, 3705.522, 11166.83, 0, 7.146111, 1.107458, 13.17762, 0, 66.64542, 3.007916, 8.915458, 12.92062, 23.25887, 3.48536, 83.75787, 979.41, 1749.263, 2145.469, 37.42382, 0.1238565, 0.2924576, 2393.184, 0.6458425, 3.013563, 3.412266, 0.971756, -1.69946, 0.1597715, 0.170495, 0.1670789, 
1985:10, 4613.341, 13561.2, 0, 7.219306, 0.9912632, 13.4304, 0, 66.85352, 2.307187, 9.198321, 14.54585, 23.88308, 3.194644, 74.99153, 1369.095, 2105.359, 2665.012, 40.66212, 0.1265591, 0.2916186, 2934.775, 0.6361496, 2.939561, 3.437497, 0.9627391, -1.664815, 0.1809479, 0.191397, 0.1881197, 
1985:11, 5324.286, 15348.33, 0, 7.337387, 0.9816567, 13.55727, 0, 66.64816, 2.045512, 9.43, 14.83575, 23.19206, 3.050958, 75.36519, 1669.754, 2184.767, 2870.259, 45.4984, 0.1305205, 0.2924748, 3357.648, 0.6306288, 2.882701, 3.429728, 0.9496586, -1.600892, 0.1922454, 0.2023275, 0.1991886, 
1985:12, 6040.214, 17196.99, 0, 7.065204, 0.7491465, 13.72607, 0, 67.39699, 1.553442, 9.509143, 17.89231, 24.96861, 2.947144, 59.06055, 1990.454, 2507.534, 3326.616, 42.97208, 0.1335981, 0.2913136, 3704.305, 0.6132737, 2.847084, 3.507231, 0.9527085, -1.580353, 0.2013193, 0.2109987, 0.2080023, 
1986:1, 6023.878, 17235.29, 0, 6.897559, 0.6883039, 13.75958, 0, 67.63564, 1.46845, 9.550468, 19.23965, 25.97986, 2.942894, 54.42492, 1992.498, 1882.513, 2701.141, 40.53804, 0.1886298, 0.2915903, 3678.948, 0.6107275, 2.861161, 3.691386, 0.9555823, -1.325912, 0.2008855, 0.210775, 0.2077069, 
1986:2, 5709.158, 16507.5, 0, 6.790484, 0.6910239, 13.73724, 0, 67.71677, 1.529944, 9.534547, 19.62301, 26.54877, 2.979015, 54.26569, 1862.192, 1545.057, 2308.139, 38.38657, 0.18375, 0.2920525, 3502.685, 0.6135204, 2.891407, 3.703248, 0.9594787, -1.373803, 0.1969978, 0.2072526, 0.2040567, 
1986:3, 5317.357, 15557.18, 0, 6.671394, 0.6719735, 13.73288, 0, 67.89716, 1.582199, 9.444386, 20.35122, 27.52324, 3.033889, 52.2821, 1700.372, 1362.301, 2057.016, 35.4952, 0.1780342, 0.2920066, 3278.87, 0.6166354, 2.925735, 3.727055, 0.9615913, -1.428141, 0.1917955, 0.2023991, 0.1990776, 
1986:4, 4842.9, 14354.81, 0, 6.535674, 0.6248291, 13.7743, 0, 68.17866, 1.618084, 9.268467, 21.71744, 29.13178, 3.116952, 48.09107, 1505.638, 1132.014, 1744.845, 31.72157, 0.1713021, 0.2913455, 3005.151, 0.6205272, 2.964094, 3.773895, 0.9597373, -1.497465, 0.1846532, 0.1955863, 0.19214, 
1986:5, 4272.897, 12837.02, 0, 6.421298, 0.5704413, 13.87543, 0, 68.45482, 1.68507, 8.992959, 23.51647, 31.19232, 3.251829, 43.45858, 1270.539, 846.8829, 1361.223, 27.56255, 0.1634954, 0.2901022, 2678.721, 0.6269099, 3.004288, 3.840957, 0.9515663, -1.586718, 0.17425, 0.1854399, 0.1818825, 
1986:6, 3692.451, 11246.24, 0, 6.283059, 0.6930473, 13.74459, 0, 68.33744, 2.204623, 8.737242, 21.00464, 29.69584, 3.460652, 52.90543, 1014.076, 576.5498, 983.9148, 25.84451, 0.155229, 0.2907272, 2330.3, 0.6310982, 3.045738, 3.765466, 0.9615914, -1.639586, 0.1597285, 0.1709072, 0.1673135, 
1986:7, 3324.734, 10169.94, 0, 6.320682, 0.8267142, 13.55771, 0, 68.00436, 2.762042, 8.528493, 18.03402, 27.3172, 3.654289, 63.63551, 846.1815, 614.4647, 952.3422, 25.58456, 0.1472029, 0.2916507, 2105.697, 0.6333429, 3.058873, 3.672025, 0.9689084, -1.675488, 0.1477558, 0.1585963, 0.1550833, 
