"index","year","month","lag","raw_value","scaled_value","impacted_functional_group"
"amo",1991,1,1,-0.204,0.479233226837061,"menhaden 0"
"amo",1991,2,1,-0.126,0.645367412140575,"menhaden 0"
"amo",1991,3,1,-0.079,0.745473908413205,"menhaden 0"
"amo",1991,4,1,-0.142,0.611288604898829,"menhaden 0"
"amo",1991,5,1,-0.163,0.566560170394036,"menhaden 0"
"amo",1991,6,1,-0.139,0.617678381256656,"menhaden 0"
"amo",1991,7,1,-0.117,0.664536741214057,"menhaden 0"
"amo",1991,8,1,-0.119,0.660276890308839,"menhaden 0"
"amo",1991,9,1,-0.047,0.813631522896699,"menhaden 0"
"amo",1991,10,1,-0.272,0.334398296059638,"menhaden 0"
"amo",1991,11,1,-0.271,0.336528221512247,"menhaden 0"
"amo",1991,12,1,-0.224,0.436634717784878,"menhaden 0"
"amo",1992,1,1,-0.201,0.485623003194888,"menhaden 0"
"amo",1992,2,1,-0.105,0.690095846645367,"menhaden 0"
"amo",1992,3,1,-0.103,0.694355697550586,"menhaden 0"
"amo",1992,4,1,-0.195,0.498402555910543,"menhaden 0"
"amo",1992,5,1,-0.233,0.417465388711395,"menhaden 0"
"amo",1992,6,1,-0.162,0.568690095846645,"menhaden 0"
"amo",1992,7,1,-0.23,0.423855165069222,"menhaden 0"
"amo",1992,8,1,-0.392,0.0788072417465388,"menhaden 0"
"amo",1992,9,1,-0.381,0.10223642172524,"menhaden 0"
"amo",1992,10,1,-0.311,0.251331203407881,"menhaden 0"
"amo",1992,11,1,-0.346,0.17678381256656,"menhaden 0"
"amo",1992,12,1,-0.296,0.283280085197018,"menhaden 0"
"amo",1993,1,1,-0.251,0.37912673056443,"menhaden 0"
"amo",1993,2,1,-0.198,0.492012779552716,"menhaden 0"
"amo",1993,3,1,-0.256,0.368477103301384,"menhaden 0"
"amo",1993,4,1,-0.185,0.519701810436635,"menhaden 0"
"amo",1993,5,1,-0.175,0.541001064962726,"menhaden 0"
"amo",1993,6,1,-0.193,0.502662406815761,"menhaden 0"
"amo",1993,7,1,-0.289,0.298189563365282,"menhaden 0"
"amo",1993,8,1,-0.24,0.402555910543131,"menhaden 0"
"amo",1993,9,1,-0.176,0.538871139510117,"menhaden 0"
"amo",1993,10,1,-0.255,0.370607028753994,"menhaden 0"
"amo",1993,11,1,-0.33,0.210862619808307,"menhaden 0"
"amo",1993,12,1,-0.305,0.264110756123536,"menhaden 0"
"amo",1994,1,1,-0.308,0.257720979765708,"menhaden 0"
"amo",1994,2,1,-0.321,0.230031948881789,"menhaden 0"
"amo",1994,3,1,-0.291,0.293929712460064,"menhaden 0"
"amo",1994,4,1,-0.212,0.462193823216187,"menhaden 0"
"amo",1994,5,1,-0.219,0.447284345047923,"menhaden 0"
"amo",1994,6,1,-0.234,0.415335463258786,"menhaden 0"
"amo",1994,7,1,-0.244,0.394036208732694,"menhaden 0"
"amo",1994,8,1,-0.248,0.385516506922258,"menhaden 0"
"amo",1994,9,1,-0.165,0.562300319488818,"menhaden 0"
"amo",1994,10,1,-0.072,0.76038338658147,"menhaden 0"
"amo",1994,11,1,-0.032,0.845580404685836,"menhaden 0"
"amo",1994,12,1,-0.103,0.694355697550586,"menhaden 0"
"amo",1995,1,1,-0.075,0.753993610223642,"menhaden 0"
"amo",1995,2,1,-0.053,0.800851970181044,"menhaden 0"
"amo",1995,3,1,0.003,0.920127795527157,"menhaden 0"
"amo",1995,4,1,0.063,1.04792332268371,"menhaden 0"
"amo",1995,5,1,0.259,1.4653887113951,"menhaden 0"
"amo",1995,6,1,0.351,1.66134185303514,"menhaden 0"
"amo",1995,7,1,0.301,1.55484558040469,"menhaden 0"
"amo",1995,8,1,0.17,1.27582534611289,"menhaden 0"
"amo",1995,9,1,0.041,1.0010649627263,"menhaden 0"
"amo",1995,10,1,0.089,1.10330138445154,"menhaden 0"
"amo",1995,11,1,0.114,1.15654952076677,"menhaden 0"
"amo",1995,12,1,0.029,0.975505857294995,"menhaden 0"
"amo",1996,1,1,-0.023,0.864749733759318,"menhaden 0"
"amo",1996,2,1,-0.045,0.817891373801917,"menhaden 0"
"amo",1996,3,1,-0.071,0.762513312034079,"menhaden 0"
"amo",1996,4,1,-0.004,0.905218317358892,"menhaden 0"
"amo",1996,5,1,-0.078,0.747603833865815,"menhaden 0"
"amo",1996,6,1,-0.137,0.621938232161874,"menhaden 0"
"amo",1996,7,1,-0.118,0.662406815761448,"menhaden 0"
"amo",1996,8,1,-0.022,0.866879659211927,"menhaden 0"
"amo",1996,9,1,-0.015,0.881789137380192,"menhaden 0"
"amo",1996,10,1,-0.158,0.577209797657082,"menhaden 0"
"amo",1996,11,1,-0.187,0.515441959531416,"menhaden 0"
"amo",1996,12,1,-0.169,0.553780617678381,"menhaden 0"
"amo",1997,1,1,-0.105,0.690095846645367,"menhaden 0"
"amo",1997,2,1,-0.049,0.80937167199148,"menhaden 0"
"amo",1997,3,1,-0.009,0.894568690095847,"menhaden 0"
"amo",1997,4,1,-0.006,0.900958466453674,"menhaden 0"
"amo",1997,5,1,0.026,0.969116080937167,"menhaden 0"
"amo",1997,6,1,-0.005,0.903088391906283,"menhaden 0"
"amo",1997,7,1,0.047,1.01384451544196,"menhaden 0"
"amo",1997,8,1,0.001,0.915867944621938,"menhaden 0"
"amo",1997,9,1,0.096,1.11821086261981,"menhaden 0"
"amo",1997,10,1,0.137,1.20553780617678,"menhaden 0"
"amo",1997,11,1,0.037,0.992545260915868,"menhaden 0"
"amo",1997,12,1,0.118,1.16506922257721,"menhaden 0"
"amo",1998,1,1,0.116,1.16080937167199,"menhaden 0"
"amo",1998,2,1,0.278,1.50585729499468,"menhaden 0"
"amo",1998,3,1,0.308,1.56975505857295,"menhaden 0"
"amo",1998,4,1,0.278,1.50585729499468,"menhaden 0"
"amo",1998,5,1,0.37,1.70181043663472,"menhaden 0"
