EwEVersion,"6.6.8.18072 (compiled 11/4/2022)"
Date,"10/17/2023 10:05:33 AM"
ModelName,"NWACS AM 7ages"
EcosimScenario,forcing_pdsi_egg_amo1
TimeSeries,"copyUpdated NWACS MICE 5 v2-1-6-Time series grid"
StartYear,1985

Data,ShannonDiversity

year,value
1985,1.436821
1986,1.403419
1987,1.316422
1988,1.292866
1989,1.215962
1990,1.247832
1991,1.404641
1992,1.408238
1993,1.350897
1994,1.378437
1995,1.381872
1996,1.280784
1997,1.377574
1998,1.42404
1999,1.412071
2000,1.322648
2001,1.338747
2002,1.207799
2003,1.196313
2004,1.211654
2005,1.280349
2006,1.291736
2007,1.321445
2008,1.365514
2009,1.301147
2010,1.320765
2011,1.417109
2012,1.42934
2013,1.389871
2014,1.362418
2015,1.409876
2016,1.39779
2017,1.319777
